Series,Date,Value
Base & Vote Fees,1773964860000,1431.14873
Base & Vote Fees,1774051260000,1402.79362
Base & Vote Fees,1774137660000,1301.50347
Base & Vote Fees,1774224060000,1453.2283800000005
Base & Vote Fees,1774310460000,1397.4014749999997
Base & Vote Fees,1774396860000,1245.3756199999998
Base & Vote Fees,1774483260000,1433.2388099999998
Base & Vote Fees,1774569660000,1348.7487249999995
Base & Vote Fees,1774656060000,1167.66752
Base & Vote Fees,1774742460000,1279.3822250000003
Base & Vote Fees,1774828860000,1354.1217550000001
Base & Vote Fees,1774915260000,1393.1282099999999
Base & Vote Fees,1775001660000,1588.1231850000004
Base & Vote Fees,1775088060000,1282.7145499999997
Base & Vote Fees,1775174460000,1313.3271649999997
Base & Vote Fees,1775260860000,1505.8314
Base & Vote Fees,1775347260000,1158.4697500000002
Priority Fees,1773964860000,4366.987975009
Priority Fees,1774051260000,3851.2883825739996
Priority Fees,1774137660000,3822.866768114
Priority Fees,1774224060000,5361.977624539
Priority Fees,1774310460000,5261.82218107
Priority Fees,1774396860000,5419.890246437
Priority Fees,1774483260000,5125.457678170001
Priority Fees,1774569660000,4899.5290144890005
Priority Fees,1774656060000,3972.794491896
Priority Fees,1774742460000,3846.7831690909998
Priority Fees,1774828860000,8560.178345317
Priority Fees,1774915260000,5278.6778335340005
Priority Fees,1775001660000,7033.71954176
Priority Fees,1775088060000,5111.834912914
Priority Fees,1775174460000,4997.067392652
Priority Fees,1775260860000,4579.339673962
Priority Fees,1775347260000,4047.326995231
Jito Tips,1773964860000,1096.7725099511895
Jito Tips,1774051260000,851.4943157721123
Jito Tips,1774137660000,896.8761592901503
Jito Tips,1774224060000,1494.0496361961818
Jito Tips,1774310460000,1221.4947784181998
Jito Tips,1774396860000,1251.5304255851918
Jito Tips,1774483260000,1149.2013244711613
Jito Tips,1774569660000,1128.740824450153
Jito Tips,1774656060000,1004.141249767048
Jito Tips,1774742460000,900.1891151441073
Jito Tips,1774828860000,2198.7327853143065
Jito Tips,1774915260000,1411.9696426062462
Jito Tips,1775001660000,3463.2840643253685
Jito Tips,1775088060000,1309.693770029258
Jito Tips,1775174460000,1290.795760529315
Jito Tips,1775260860000,1188.937891133243
Jito Tips,1775347260000,1170.8646616751662